Make,Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Type,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),CO2 Emissions(g/km)
4,9,0.6931471805599453,4,11,4,2.2925347571405443,1.9021075263969205,2.1400661634962708,3.4965075614664802,5.278114659230517
4,9,0.8754687373538999,4,16,4,2.4159137783010487,2.0412203288596382,2.2617630984737906,3.367295829986474,5.3981627015177525
4,9,0.4054651081081644,4,4,4,1.791759469228055,1.7578579175523736,1.7749523509116738,3.871201010907891,4.912654885736052
4,3,1.252762968495368,6,18,4,2.5416019934645457,2.2082744135228043,2.4069451083182885,3.2188758248682006,5.541263545158426
4,3,1.252762968495368,6,18,4,2.4932054526026954,2.163323025660538,2.3608540011180215,3.295836866004329,5.497168225293202
4,12,1.252762968495368,6,18,4,2.4765384001174837,2.0412203288596382,2.302585092994046,3.332204510175204,5.438079308923196
4,12,1.252762968495368,6,18,4,2.468099531471619,2.0918640616783932,2.312535423847214,3.332204510175204,5.44673737166631
4,12,1.308332819650179,6,18,4,2.5494451709255714,2.1972245773362196,2.4069451083182885,3.2188758248682006,5.541263545158426
4,12,1.308332819650179,6,16,4,2.5952547069568657,2.2512917986064953,2.451005098112319,3.1780538303479458,5.58724865840025
4,9,0.8754687373538999,4,11,4,2.3608540011180215,2.0149030205422647,2.2192034840549946,3.4339872044851463,5.356586274672012
4,9,0.8754687373538999,4,16,4,2.4159137783010487,2.0918640616783932,2.2823823856765264,3.367295829986474,5.41610040220442
4,9,1.252762968495368,6,11,4,2.4932054526026954,2.1162555148025524,2.341805806147327,3.295836866004329,5.476463551931511
6,15,0.5877866649021191,4,9,4,2.272125885509337,1.9315214116032138,2.128231705849268,3.5263605246161616,5.262690188904886
34,4,1.7749523509116738,12,22,4,2.8903717578961645,2.533696813957432,2.747270914255491,2.8903717578961645,5.883322388488279
34,7,1.7749523509116738,12,22,4,2.8903717578961645,2.533696813957432,2.747270914255491,2.8903717578961645,5.883322388488279
34,15,1.547562508716013,8,26,4,2.856470206220483,2.424802725718295,2.6878474937846906,2.9444389791664403,5.823045895483019
34,15,1.547562508716013,8,16,4,2.89591193827178,2.501435951739211,2.7343675094195836,2.8903717578961645,5.869296913133774
34,15,1.547562508716013,8,26,4,2.856470206220483,2.424802725718295,2.6878474937846906,2.9444389791664403,5.823045895483019
34,15,1.547562508716013,8,16,4,2.89591193827178,2.501435951739211,2.7343675094195836,2.8903717578961645,5.869296913133774
34,4,1.7749523509116738,12,22,4,2.8903717578961645,2.533696813957432,2.747270914255491,2.8903717578961645,5.883322388488279
32,9,0.6931471805599453,4,6,4,2.2925347571405443,2.0014800002101243,2.174751721484161,3.4657359027997265,5.308267697401205
32,9,0.6931471805599453,4,21,4,2.4423470353692043,2.0918640616783932,2.302585092994046,3.332204510175204,5.438079308923196
32,9,0.6931471805599453,4,16,4,2.379546134130174,2.0149030205422647,2.2300144001592104,3.4011973816621555,5.365976015021851
32,7,0.6931471805599453,4,21,4,2.4423470353692043,2.0918640616783932,2.302585092994046,3.332204510175204,5.438079308923196
32,7,0.6931471805599453,4,21,4,2.4423470353692043,2.0918640616783932,2.302585092994046,3.332204510175204,5.438079308923196
32,7,0.6931471805599453,4,16,4,2.379546134130174,2.0149030205422647,2.2300144001592104,3.4011973816621555,5.365976015021851
32,12,0.6931471805599453,4,21,4,2.4849066497880004,2.0918640616783932,2.322387720290225,3.332204510175204,5.459585514144159
32,12,1.0986122886681098,6,21,4,2.5494451709255714,2.151762203259462,2.388762789235098,3.258096538021482,5.5254529391317835
32,12,1.0986122886681098,6,21,1,2.2823823856765264,1.824549292051046,2.0918640616783932,3.5553480614894135,5.37989735354046
32,12,1.0986122886681098,6,21,4,2.5877640352277083,2.1400661634962708,2.4159137783010487,3.2188758248682006,5.568344503761097
32,12,1.0986122886681098,6,21,1,2.2823823856765264,1.824549292051046,2.0918640616783932,3.5553480614894135,5.37989735354046
32,12,1.0986122886681098,6,21,4,2.5726122302071057,2.174751721484161,2.4159137783010487,3.2188758248682006,5.552959584921617
32,12,1.3862943611198906,8,21,4,2.617395832834079,2.1162555148025524,2.424802725718295,3.2188758248682006,5.579729825986222
32,12,1.0986122886681098,6,21,1,2.2823823856765264,1.8718021769015913,2.128231705849268,3.5263605246161616,5.4116460518550396
32,10,1.0986122886681098,6,21,4,2.5726122302071057,2.174751721484161,2.4159137783010487,3.2188758248682006,5.552959584921617
32,10,1.3862943611198906,8,21,4,2.6878474937846906,2.272125885509337,2.5257286443082556,3.1354942159291497,5.662960480135946
32,10,1.840549633397487,12,21,4,2.928523523860541,2.4423470353692043,2.740840023925201,2.8903717578961645,5.8944028342648505
32,10,1.0986122886681098,6,21,1,2.2823823856765264,1.8718021769015913,2.128231705849268,3.5263605246161616,5.4116460518550396
32,5,0.6931471805599453,4,21,4,2.468099531471619,2.174751721484161,2.3513752571634776,3.295836866004329,5.488937726156687
32,3,0.6931471805599453,4,21,4,2.4849066497880004,2.1400661634962708,2.341805806147327,3.295836866004329,5.476463551931511
32,3,1.0986122886681098,6,21,4,2.5572273113676265,2.2192034840549946,2.4159137783010487,3.2188758248682006,5.552959584921617
32,3,1.0986122886681098,6,21,1,2.322387720290225,2.0541237336955462,2.1972245773362196,3.4339872044851463,5.497168225293202
32,3,0.6931471805599453,4,21,4,2.2925347571405443,2.1162555148025524,2.2192034840549946,3.4339872044851463,5.356586274672012
32,13,1.0986122886681098,6,21,4,2.714694743820879,2.388762789235098,2.580216829592325,3.044522437723423,5.717027701406222
32,13,1.0986122886681098,6,21,1,2.517696472610991,2.163323025660538,2.3702437414678603,3.258096538021482,5.66988092298052
32,15,1.4350845252893227,8,23,4,2.8678989020441064,2.3978952727983707,2.681021528714291,2.9444389791664403,5.817111159963204
32,15,1.4350845252893227,8,16,4,3.054001181677967,2.5952547069568657,2.8735646395797834,2.772588722239781,6.008813185442595
32,15,1.6486586255873816,10,23,4,2.9014215940827497,2.3608540011180215,2.6946271807700692,2.9444389791664403,5.849324779946859
32,15,1.6486586255873816,10,16,4,3.0492730404820207,2.624668592163159,2.8791984572980396,2.772588722239781,6.013715156042802
32,15,1.4350845252893227,8,23,4,2.8678989020441064,2.3978952727983707,2.681021528714291,2.9444389791664403,5.817111159963204
32,15,1.4350845252893227,8,16,4,3.054001181677967,2.5952547069568657,2.8735646395797834,2.772588722239781,6.008813185442595
32,15,1.6486586255873816,10,23,4,2.9014215940827497,2.3608540011180215,2.6946271807700692,2.9444389791664403,5.849324779946859
32,15,1.6486586255873816,10,16,4,3.0492730404820207,2.624668592163159,2.8791984572980396,2.772588722239781,6.013715156042802
32,7,1.4350845252893227,8,23,4,2.72785282839839,2.388762789235098,2.5877640352277083,3.044522437723423,5.723585101952381
32,7,1.4350845252893227,8,23,4,2.7212954278522306,2.424802725718295,2.5952547069568657,3.044522437723423,5.730099782973574
32,12,1.3862943611198906,8,21,4,2.740840023925201,2.174751721484161,2.5257286443082556,3.1354942159291497,5.680172609017068
32,9,1.0986122886681098,6,23,4,2.580216829592325,2.2192034840549946,2.4336133554004498,3.2188758248682006,5.568344503761097
32,9,1.0986122886681098,6,16,4,2.681021528714291,2.2823823856765264,2.517696472610991,3.1354942159291497,5.652489180268651
32,7,1.0986122886681098,6,23,4,2.580216829592325,2.2192034840549946,2.4336133554004498,3.2188758248682006,5.568344503761097
32,7,1.0986122886681098,6,16,4,2.681021528714291,2.2823823856765264,2.517696472610991,3.1354942159291497,5.652489180268651
32,7,1.0986122886681098,6,23,4,2.5877640352277083,2.2512917986064953,2.451005098112319,3.1780538303479458,5.58724865840025
32,12,1.3862943611198906,8,23,4,2.653241964607215,2.272125885509337,2.501435951739211,3.1354942159291497,5.638354669333745
32,12,1.3862943611198906,8,23,4,2.653241964607215,2.272125885509337,2.501435951739211,3.1354942159291497,5.638354669333745
32,12,1.3862943611198906,8,21,4,2.760009940032921,2.2192034840549946,2.5494451709255714,3.091042453358316,5.703782474656201
32,3,1.0986122886681098,6,21,4,2.7013612129514133,2.312535423847214,2.5416019934645457,3.091042453358316,5.676753802268282
32,7,0.6931471805599453,4,22,4,2.341805806147327,2.028148247292285,2.2082744135228043,3.4339872044851463,5.342334251964811
32,15,0.6931471805599453,4,22,4,2.341805806147327,2.028148247292285,2.2082744135228043,3.4339872044851463,5.342334251964811
32,7,0.6931471805599453,4,22,4,2.4423470353692043,2.174751721484161,2.33214389523559,3.295836866004329,5.4680601411351315
32,15,0.6931471805599453,4,22,4,2.4423470353692043,2.174751721484161,2.33214389523559,3.295836866004329,5.4680601411351315
36,7,1.3862943611198906,8,21,4,2.791165107812717,2.2823823856765264,2.5952547069568657,3.044522437723423,5.749392985908253
36,7,1.791759469228055,12,21,4,2.9338568698359038,2.4423470353692043,2.740840023925201,2.8903717578961645,5.87493073085203
36,7,1.3862943611198906,8,21,4,2.856470206220483,2.322387720290225,2.653241964607215,2.995732273553991,5.805134968916488
36,7,1.791759469228055,12,21,4,2.995732273553991,2.501435951739211,2.803360380906535,2.833213344056216,5.940171252720432
36,7,1.791759469228055,12,21,4,2.995732273553991,2.501435951739211,2.803360380906535,2.833213344056216,5.940171252720432
36,12,1.791759469228055,12,21,4,3.0106208860477417,2.4765384001174837,2.803360380906535,2.833213344056216,5.961005339623274
